Name,Amount,Link
Raspberry pi Zero 2 w,1,https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/?variant=raspberry-pi-zero-2-w
3.5inch RPi LCD (G),1,https://www.waveshare.com/3.5inch-rpi-lcd-g.htm?srsltid=AfmBOopoyxl4aeTF2s5BtMy4MCuqwqXwdewwnlaeLHAK1Bwd1KD4Ym0p
6mm Push Buttons,11,https://www.adafruit.com/product/367?srsltid=AfmBOoqAj2fYP6Xjk4cAeABVtzY1UmmWIn-tXu1GYy3M0Tw
270 ohm resistors,2,https://www.microcenter.com/product/689184/leo-sales-ltd-resistors-05w-270ohm-metal-oxide-10-pack
33nF Capacitors,2,https://www.aliexpress.us/item/3256806455818371.html
M3 Hex Nuts,17,https://www.homedepot.com/p/Everbilt-M3-0-5-Zinc-Hex-Nut-5-Pieces-862798/323368368
M3 Screws,17,https://www.homedepot.com/p/M3-0-5-x-25-mm-Phillips-Pan-Head-Stainless-Steel-Machine-Screw-2-Pack-842748/204283766
M2.5 Screws,4,https://www.homedepot.com/p/Prime-Line-M2-5-0-45-x-10-mm-Zinc-Plated-Steel-Phillips-Drive-Pan-Head-Metric-Machine-Screws-25-Pack-9130848/311229794
Sparkfun 5-way Switch,1,https://www.aliexpress.us/item/2251832459877116.html
Sparkfun TRRS Breakout,1,https://www.sparkfun.com/sparkfun-trrs-3-5mm-jack-breakout.html
40 Pin Header,1,https://www.adafruit.com/product/2822
12 Pin Header,1,https://www.aliexpress.us/item/3256808907494688.html
3d printed case and components,1,N/A
